text;label
площадка перешла на ручной режим управления;CONSEQUENCE
отправление груза задержалось до устранения замечаний;CONSEQUENCE
часть оборудования была обесточена;CONSEQUENCE
производственный участок прекратил работу;CONSEQUENCE
произошло аварийное завершение приложения;CONSEQUENCE
система диспетчеризации потеряла контроль объекта;CONSEQUENCE
бригада ожидала разрешение на продолжение работ;CONSEQUENCE
услуга была временно недоступна для клиентов;CONSEQUENCE
контур охлаждения был отключен от технологического процесса;CONSEQUENCE
произошла остановка технологической установки;CONSEQUENCE
объект работал с ограниченной мощностью;CONSEQUENCE
ввод номер два отключился от сети;CONSEQUENCE
питание потребителей было прервано;CONSEQUENCE
технологическая линия потеряла электроснабжение;CONSEQUENCE
участок остался без резервного питания;CONSEQUENCE
производственный процесс был аварийно остановлен;CONSEQUENCE
порядок проверки активных сигналов не был включен в инструкцию;ORG
в регламенте не указали ответственного за подтверждение готовности;ORG
процедура передачи смены не содержала контрольного листа;ORG
не была определена схема взаимодействия между диспетчером и подрядчиком;ORG
в договоре обслуживания отсутствовало требование к проверке датчиков;ORG
график технического осмотра не предусматривал резервную проверку;ORG
порядок допуска к работам не закреплял роли участников;ORG
инструкция по эксплуатации не описывала действия при активном сигнале;ORG
не был организован повторный инструктаж после изменения схемы;ORG
контроль выполнения заявки не был закреплен за подразделением;ORG
маршрут согласования работ не включал проверку со стороны ЭТЛ;ORG
план реагирования не содержал действий при отказе связи;ORG
ответственность между подрядчиком и заказчиком была распределена неясно;ORG
в медицинском отделении не был утвержден порядок передачи дежурства;ORG
в IT службе не был описан порядок восстановления после сбоя;ORG
регламент перевозки не предусматривал контроль температуры груза;ORG
производственная инструкция не содержала запрета на запуск без диагностики;ORG
не был назначен владелец процесса проверки качества данных;ORG
служба эксплуатации не установила периодичность тестирования резерва;ORG
в карте ремонта отсутствовал этап подтверждения отключения оборудования;ORG
исполнитель пропустил проверку активных сигналов перед переключением;PSYCHO
оператор ошибочно подтвердил готовность оборудования к запуску;PSYCHO
дежурный персонал не сверил показания датчиков с журналом;PSYCHO
специалист подрядчика не сообщил принимающей стороне о замечании;PSYCHO
диспетчер неверно выбрал режим работы на панели управления;PSYCHO
медицинский работник не перепроверил дозировку перед процедурой;PSYCHO
инженер не заметил предупреждение системы мониторинга;PSYCHO
водитель не выполнил контроль крепления груза перед рейсом;PSYCHO
администратор не проверил состояние резервной копии после задания;PSYCHO
мастер участка преждевременно разрешил продолжение работ;PSYCHO
оперативный персонал не выполнил визуальный осмотр терминала;PSYCHO
исполнитель неправильно интерпретировал сообщение о блокировке;PSYCHO
принимающий специалист не убедился в снятии аварийного сигнала;PSYCHO
дежурная смена не проконтролировала закрытие заявки;PSYCHO
лаборант ошибочно внес результат анализа в другую карточку;PSYCHO
оператор не остановил линию после появления предупреждения;PSYCHO
сотрудник поддержки закрыл инцидент без проверки восстановления;PSYCHO
наладчик перепутал канал измерения при калибровке;PSYCHO
руководитель смены не проконтролировал подготовку персонала;PSYCHO
исполнитель не сверил фактическую схему с оперативной документацией;PSYCHO
терминал защиты сформировал команду на отключение ввода;TECH
датчик давления передал заниженное значение в систему управления;TECH
модуль связи периодически терял пакеты телеметрии;TECH
контроллер не обработал сигнал блокировки из-за ошибки прошивки;TECH
реле времени сработало с задержкой выше допустимого значения;TECH
кабельная линия имела повреждение изоляции;TECH
сервер базы данных вернул ошибку при записи журнала;TECH
компрессор работал с повышенной температурой корпуса;TECH
термодатчик завис на последнем измеренном значении;TECH
автоматический выключатель не удерживал нагрузку;TECH
модуль РЗА воспринял активный сигнал как условие пуска;TECH
программный сервис сформировал некорректный статус выполнения;TECH
система вентиляции выдала ложный сигнал перегрева;TECH
сканер штрихкодов не считывал метку из-за отказа подсветки;TECH
лабораторный анализатор выдал ошибку положения каретки;TECH
блок питания перешел в режим защиты от перегрузки;TECH
радиоканал передал искаженное сообщение диспетчерской системе;TECH
привод задвижки не подтвердил достижение конечного положения;TECH
алгоритм автоматики ошибочно активировал резервный канал;TECH
терминал РЗА распознал сигнал как команду отключения выключателя;TECH
ввод номер два был отключен автоматикой;CONSEQUENCE
производственная линия остановилась до окончания смены;CONSEQUENCE
клиенты временно потеряли доступ к сервису;CONSEQUENCE
партия продукции была отправлена на повторную проверку;CONSEQUENCE
поезд задержался на станции до восстановления маршрута;CONSEQUENCE
пациенту перенесли процедуру из-за недоступности оборудования;CONSEQUENCE
участок сети остался без телеметрии;CONSEQUENCE
технологический процесс перешел в аварийный режим;CONSEQUENCE
заявки пользователей перестали обрабатываться;CONSEQUENCE
резервный насос был запущен для поддержания режима;CONSEQUENCE
объект был выведен из эксплуатации до завершения расследования;CONSEQUENCE
груз прибыл с нарушением температурного режима;CONSEQUENCE
операция обслуживания была приостановлена;CONSEQUENCE
питание шкафов управления кратковременно прервалось;CONSEQUENCE
смена не смогла продолжить работы по графику;CONSEQUENCE
часть данных мониторинга была потеряна;CONSEQUENCE
защита отключила присоединение от сети;CONSEQUENCE
оборудование перешло на резервную схему питания;CONSEQUENCE
производственный участок выпустил неполную партию продукции;CONSEQUENCE
доступ к медицинской информационной системе был временно заблокирован;CONSEQUENCE
оператор перевел ключ УРОВ в рабочее положение;PSYCHO
оператор перевел переключатель без проверки активных сигналов;PSYCHO
оператор ввел защиту в работу без подтверждения сброса;PSYCHO
дежурный выполнил переключение без визуального контроля панели;PSYCHO
исполнитель завершил работы без сброса сигналов на терминале;PSYCHO
принимающий специалист признал ячейку готовой без проверки дисплея;PSYCHO
бланк переключений не включал проверку состояния защит;ORG
порядок ввода оборудования не требовал подтверждения сброса сигналов;ORG
инструкция приемки ячейки не содержала проверку несброшенных сигналов;ORG
регламент работ не определял ответственного за квитирование защит;ORG
контрольный лист не предусматривал проверку дисплея терминала РЗА;ORG
между подрядчиком и принимающей стороной не был закреплен порядок контроля;ORG
терминал РЗА воспринял положение ключа как команду ввода защиты;TECH
активный сигнал УРОВ остался несброшенным на терминале;TECH
микропроцессорное устройство защиты подало команду отключения;TECH
сигнал срабатывания МТЗ остался активным после испытаний;TECH
терминал защиты сохранил состояние сработало после проверки;TECH
устройство РЗА сформировало команду отключения по активному сигналу;TECH
ввод номер два отключился по активному сигналу защиты;CONSEQUENCE
произошло отключение ввода номер два по сигналу УРОВ;CONSEQUENCE
ячейка была выведена из работы после срабатывания защиты;CONSEQUENCE
потребители потеряли питание из-за отключения ввода;CONSEQUENCE
объект перешел в нештатный режим после отключения ввода;CONSEQUENCE
работа оборудования была прекращена из-за срабатывания защиты;CONSEQUENCE
по завершении работ исполнитель не выполнил квитирование активных сигналов защит на терминале РЗА;PSYCHO
исполнитель не выполнил обязательную процедуру ручного сброса сигналов защит;PSYCHO
исполнитель оставил активные сигналы без подтверждения сброса;PSYCHO
принимающий специалист при приемке не проверил дисплей терминала РЗА;PSYCHO
принимающий специалист ЭТЛ не убедился в отсутствии несброшенных сигналов;PSYCHO
оперативный персонал не выполнил визуальный контроль состояния дисплея терминала;PSYCHO
оперативный персонал не проверил наличие активных сигналов перед вводом ячейки;PSYCHO
оператор перевел ключ УРОВ в рабочее положение без проверки состояния защит;PSYCHO
оператор ввел защиту в работу не убедившись в сбросе сигналов;PSYCHO
диспетчер разрешил переключение без уточнения состояния оборудования;PSYCHO
начальник смены не проконтролировал действия оперативного персонала;PSYCHO
руководитель работ не проверил завершение всех операций обслуживания;PSYCHO
электромонтер пропустил операцию проверки индикации на панели;PSYCHO
специалист подрядчика ошибочно посчитал терминал готовым к работе;PSYCHO
дежурный персонал не сверил индикацию с журналом событий;PSYCHO
мастер не подтвердил выполнение контрольного осмотра перед пуском;PSYCHO
техник не выполнил повторную проверку после настройки устройства;PSYCHO
сотрудник поддержки закрыл заявку не проверив восстановление сервиса;PSYCHO
администратор изменил параметры сервера без контрольного теста;PSYCHO
врач не сверил назначение с данными пациента перед процедурой;PSYCHO
медсестра перепутала порядок подготовки оборудования к анализу;PSYCHO
водитель начал движение без проверки фиксации груза;PSYCHO
механик не затянул крепление после ремонта узла;PSYCHO
оператор линии не заметил предупреждение на панели управления;PSYCHO
лаборант внес результат в журнал без повторной сверки;PSYCHO
подрядчик не сообщил принимающей стороне о незавершенной операции;PSYCHO
исполнитель работ не оформил отметку о сбросе сигналов защиты;PSYCHO
принимающий сотрудник подписал готовность объекта без проверки фактического состояния;PSYCHO
персонал действовал по привычке и пропустил контрольный шаг;PSYCHO
бланк переключений не содержал операции проверки и квитирования защит;ORG
контрольный лист не предусматривал проверку активных сигналов терминала;ORG
регламент приемки не требовал контроля состояния дисплея РЗА;ORG
инструкция не определяла порядок сброса сигналов после испытаний;ORG
порядок допуска не закреплял ответственность за проверку квитирования;ORG
между подрядчиком и ЭТЛ не был установлен порядок передачи информации;ORG
не была назначена роль ответственного за итоговую проверку ячейки;ORG
программа работ не включала контроль состояния защит после испытаний;ORG
наряд допуск не содержал требования о фиксации сброса сигналов;ORG
организация не обеспечила независимую проверку готовности оборудования;ORG
руководство подразделения не ввело процедуру двойного контроля;ORG
в подразделении отсутствовал регламент взаимодействия при приемке работ;ORG
обучение персонала не включало действия с активными сигналами защит;ORG
в договоре с подрядчиком не были указаны требования к приемке РЗА;ORG
план профилактики не включал проверку регистраторов событий;ORG
график обслуживания не предусматривал контроль резервного питания;ORG
инструкция смены не описывала порядок действий при висящих сигналах;ORG
технологическая карта не содержала операции проверки дисплея;ORG
регламент IT службы не определял порядок подтверждения восстановления;ORG
в больнице не был утвержден порядок проверки готовности аппарата;ORG
транспортная инструкция не закрепляла контроль крепления груза;ORG
на производстве не был назначен ответственный за ввод линии;ORG
правила обслуживания не предусматривали повторную проверку после ремонта;ORG
отсутствовала процедура передачи смены с контрольным списком;ORG
контрольные точки процесса не были включены в рабочую инструкцию;ORG
порядок согласования отключений не был доведен до персонала;ORG
организация работ не обеспечила разделение функций проверки и выполнения;ORG
в регламенте не было требования сверять журнал событий с дисплеем;ORG
процедура приемки работ не содержала обязательного теста готовности;ORG
сигналы МТЗ и УРОВ остались в состоянии сработало на дисплее терминала;TECH
активные сигналы защит остались несброшенными после испытаний;TECH
терминал РЗА сохранил активный сигнал УРОВ после проверки;TECH
микропроцессорное устройство защиты распознало активный сигнал как команду;TECH
устройство РЗА восприняло положение ключа как условие отключения;TECH
дисплей терминала отображал несброшенные сигналы защит;TECH
регистратор событий зафиксировал активное состояние защиты УРОВ;TECH
терминал Sepam сформировал команду отключения по текущему состоянию защиты;TECH
блокировка осталась активной после завершения технического обслуживания;TECH
датчик положения передал ложный сигнал в систему управления;TECH
контроллер получил некорректный дискретный сигнал от модуля ввода;TECH
модуль связи потерял соединение с сервером телеметрии;TECH
сервер базы данных вернул ошибку при записи события;TECH
алгоритм автоматики активировал резервный канал по ошибочному сигналу;TECH
насос работал с повышенной вибрацией подшипника;TECH
привод задвижки не подтвердил конечное положение;TECH
блок питания перешел в защитный режим из-за перегрузки;TECH
медицинский аппарат выдал ошибку калибровки сенсора;TECH
транспортный датчик скорости передал нестабильные значения;TECH
система мониторинга получила пакет с поврежденной контрольной суммой;TECH
реле защиты осталось во взведенном состоянии после теста;TECH
интерфейс терминала некорректно отобразил состояние входа;TECH
канал телемеханики передал устаревшее значение параметра;TECH
схема управления получила сигнал включения при активной блокировке;TECH
контроллер не обработал команду сброса из-за сбоя прошивки;TECH
линия связи потеряла часть пакетов при передаче телеметрии;TECH
датчик температуры завис на последнем измеренном значении;TECH
устройство автоматики сформировало ложный сигнал готовности;TECH
программный модуль неправильно рассчитал состояние защиты;TECH
произошло аварийное отключение ввода номер два;CONSEQUENCE
ввод номер два был отключен;CONSEQUENCE
ячейка была выведена из работы;CONSEQUENCE
объект был выведен из нормального режима;CONSEQUENCE
потребители остались без питания;CONSEQUENCE
насосная станция остановилась до восстановления питания;CONSEQUENCE
производственная линия была остановлена;CONSEQUENCE
оборудование перешло в аварийный режим;CONSEQUENCE
часть объекта осталась без электроснабжения;CONSEQUENCE
технологический процесс был приостановлен;CONSEQUENCE
работа сервиса была недоступна для пользователей;CONSEQUENCE
клиенты потеряли доступ к приложению;CONSEQUENCE
медицинская процедура была перенесена на другое время;CONSEQUENCE
поезд задержался на станции;CONSEQUENCE
партия продукции была заблокирована до проверки;CONSEQUENCE
участок сети потерял телеметрию;CONSEQUENCE
обслуживание оборудования было прекращено;CONSEQUENCE
произошел простой производственного участка;CONSEQUENCE
ввод был отключен по активному сигналу защиты;CONSEQUENCE
система перешла в режим ограничения нагрузки;CONSEQUENCE
аварийная защита отключила присоединение;CONSEQUENCE
объект не был введен в работу в плановый срок;CONSEQUENCE
запуск оборудования был сорван;CONSEQUENCE
график работ был нарушен;CONSEQUENCE
линия связи стала недоступна для диспетчерского центра;CONSEQUENCE
результат анализа был задержан;CONSEQUENCE
складская операция была остановлена;CONSEQUENCE
транспортный рейс был отменен;CONSEQUENCE
подача ресурса потребителям была прекращена;CONSEQUENCE
